Landuse,Geology,DEM,Slope,Curvature,Aspect,NDVI,SPI,TWI,Dis2catchment,Dis2drainage,Dis2road,Dis2fault,X,Y,label
2,3,26,11.75669956,30.19589996,284.0360107,8133,1.985720038,5.124979973,1037.225767,220.6508897,55.2161855,847.4353237,801993.3695,808143.5477,0
1,3,14,6.438779831,36.11819839,296.5650024,8219,-0.572228014,3.791100025,1127.434367,81.19866396,8.759168287,365.7623378,802271.1825,809545.8422,0
2,3,12,18.21209908,27.56159973,302.4710083,8207,0.151218995,2.37451005,1205.060934,85.86625444,112.1922136,936.2193565,801781.7024,808897.6117,0
2,3,334,17.8064003,21.22120094,45,7348,0.127133995,2.398590088,465.829498,105.9671114,42.65215246,357.5690679,804162.9572,809770.7384,0
1,3,6,12.7191,24.79050064,333.4349976,7826,-0.225642994,2.751369953,1421.736888,19.05006753,48.82497651,450.431154,802456.3913,810180.8434,0
2,3,20,8.124110222,33.00880051,135,8245,1.608690023,5.502009869,1385.115954,250.9959963,111.9925685,637.2024795,802284.4117,809942.718,0
2,1,60,8.371780396,34.75930023,329.0360107,7257,-0.653343976,3.179069996,1159.766333,562.2964988,54.95793902,554.2804408,802099.203,807759.9011,0
1,1,9,15.57649994,42.87250137,95.19439697,8231,0.332046986,2.886830091,1086.752846,367.4930831,112.6342033,383.045007,802734.2043,807058.7539,0
3,2,23,26.89780045,48.89860153,174.2890015,8241,0.930747986,2.288130045,1074.75336,105.5062774,33.27045006,123.858268,802562.2248,807257.1918,0
2,3,413,5.763800144,45.54029846,0,6435,0.702484012,5.288980007,57.36646084,302.9111463,8.642653622,436.2895198,803210.4553,808990.2161,0
3,3,362,6.438680172,11.07919979,296.5650024,7537,2.954119921,7.317480087,65.49723252,57.80272782,44.85627151,197.436363,803012.0174,808765.3198,0
2,3,107,22.59620094,19.27020073,284.0360107,6687,0.386233002,2.139499903,1471.702178,456.0732567,384.6078271,793.7476303,801821.39,809532.613,0
1,3,1,0,0,300,1083,-7.338540077,15.68729973,364.4343458,151.9708044,31.19858226,32.41884386,804229.1031,812919.2864,0
1,2,4,0,0,300,4126,-8.294050217,14.73180008,585.5290988,111.7123912,16.45787986,426.0695291,803938.0609,812641.4734,0
1,2,3,2.043989897,22.64959908,315,5651,-1.723459959,4.942339897,97.54164881,2.178970763,13.30252735,26.38919451,804440.7702,812720.8485,0
1,2,3,0,0,300,6925,0.9,7.3,561.5308601,129.5946089,39.58525832,571.1832431,803990.9777,812271.0559,0
3,2,4,0,0,300,1074,0.9,7.3,543.6794046,207.760213,20.28415416,100.5254705,804083.582,813025.12,0
2,3,309,4.562580109,12.64859962,341.5650024,7005,-0.918784022,4.137660027,170.0055147,288.6895522,7.032921668,302.3142001,803713.1646,810551.2608,0
1,3,47,0,0,300,2018,0.9,7.3,674.9705316,305.4627262,676.8298327,86.30119645,807708.3809,810577.7192,0
2,3,49,21.43440056,29.6779995,135,6251,0.327868015,2.197860003,1507.65435,846.5303948,5.021901862,831.2141751,803117.8509,813223.5579,0
2,2,7,32.75759888,68.85420227,131.8200073,7105,0.821888983,1.703840017,1053.797237,498.2407303,12.38058565,198.3347087,803736.9771,813414.0582,0
1,3,47,0,0,300,1903,0.9,7.3,405.8918971,394.4980564,411.2452943,83.41334964,807483.4846,810221.413,0
2,3,456,18.6072998,34.7466011,77.00540161,7088,0.520812988,2.698060036,9.246429393,379.4263487,5.16334541,415.0729271,805821.898,810390.7466,0
2,3,356,34.46879959,16.20660019,197.1029968,6851,1.233260036,1.985620022,102.8503363,865.9944148,47.61531242,1058.760037,806340.4824,811120.9981,0
2,3,363,8.12405014,15.23649979,315,6758,-0.683800995,3.209530115,372.7521862,128.9609534,40.31262119,617.9030537,804096.8112,809512.3282,0
2,3,292,2.043900013,34.40330124,45,6857,1.608700037,8.274580002,227.2553871,232.1510181,99.58710691,242.2710305,803980.3943,810443.6634,0
3,3,286,19.99909973,47.69490051,33.69010162,6710,0.945280015,2.966739893,154.2618594,470.4081086,382.9740619,57.30842825,803906.3108,811279.7484,0
1,3,167,8.610039711,3.930289984,0,7782,0.9,7.3,288.2669126,306.1788182,60.03225034,146.0121949,804615.3956,811872.4163,0
1,2,17,4.562469959,22.5223999,161.5650024,7273,0.690630019,5.747119904,73.46612192,118.1618325,111.7505872,107.1881196,806054.7318,809226.5776,0
2,3,59,10.87860012,63.06579971,113.1989975,7704,-0.0398761,3.258749962,114.2619809,45.10307714,109.9497833,38.4723116,805800.7313,809385.328,0
3,1,6,0,0,300,2254,0.9,7.3,636.3112981,553.2438247,54.16461896,172.579547,807187.1507,809575.8283,0
1,3,50,16.9571991,24.76329994,24.44400024,4185,0.9,7.3,430.3765312,502.1915184,28.30986149,109.8664091,807304.2411,809882.9701,0
1,3,7,10.87849998,44.22320175,113.1989975,8166,0.9,7.3,884.4003846,209.3160964,79.01142841,1008.535933,807747.1545,808895.5431,0
2,3,64,2.889209986,45.08250046,270,6824,0.00933768,5.982130051,622.5160849,385.1171888,232.6621826,1143.428331,808001.155,809046.3559,0
3,2,135,26.55139923,41.01399994,135,8144,0.56911999,1.956609964,669.261609,810.5718998,489.3592472,698.4168245,808866.3442,808498.6673,0
2,3,36,17.06870079,54.58390045,260.5379944,7749,0.428667992,2.790210009,1074.364226,784.542279,50.68077964,1332.569084,808112.2802,808451.0422,0
3,2,52,17.91139984,56.64110184,51.34019852,8255,0.479984999,2.738889933,1151.556848,789.8698554,264.7894334,416.3764279,808969.5319,807911.2912,0
1,2,3,2.043849945,24.96360016,45,6498,0.9,7.3,7.402458693,126.2420155,90.13458574,621.1653665,809493.408,808959.0433,0
1,3,44,31.37590027,58.53739929,65.55599976,7684,1.114850044,2.104020119,330.0052147,450.7777309,25.53465935,1056.551409,809366.4077,809435.2942,0
1,3,19,25.89189911,42.44860077,207.8970032,7040,0.540081978,1.985649943,52.51556475,584.2746037,362.6669794,929.9513993,809747.4085,809490.8568,0
1,3,61,10.1171999,18.49699974,188.1300049,7544,-0.114082001,3.33295989,275.4421222,401.8429722,272.6083517,1505.798385,808874.2817,809594.0445,0
2,3,289,8.609800339,5.789040089,90,7080,-0.278322011,3.497200012,177.4675989,148.2896546,9.65901733,189.134913,804359.8196,810283.947,0
2,3,278,21.98719978,35.62749863,0,6359,0.702521026,2.516350031,16.3402278,513.5472325,132.8123635,391.3426679,804108.4649,811011.5526,0
2,3,443,10.1171999,37.45040131,351.8699951,7269,-0.114084996,3.33295989,50.7700463,534.8015969,50.08907781,271.0197656,804561.5648,809455.4687,0
2,3,371,17.90880013,34.69960022,51.34019852,7347,0.47983101,2.739049911,76.16262932,296.4146463,75.95823808,913.825886,803675.2088,809111.5097,0
3,3,104,15.20549965,8.449620247,248.1990051,8302,-0.039836701,2.565570116,845.183632,58.62035071,377.7398681,138.6703602,808054.0718,811519.2229,0
2,3,153,9.068200111,58.33089828,108.4349976,7600,-0.225615993,3.444489956,281.5839248,349.0456777,194.2406859,484.9124526,807175.6533,811657.4679,0
2,3,336,5.764229774,23.90169907,180,6839,-0.683735013,3.902610064,3.338054151,52.05787251,85.04262294,783.170145,805881.8383,813078.2833,0
1,2,11,2.889559984,43.69309998,270,5418,-0.683687985,5.288859844,10311.77411,797.37118,16.68628438,545.7013785,811565.276,815626.561,0
1,2,17,0,23.63260078,300,3188,0.9,7.3,9943.158621,919.4053088,26.16367533,87.63623888,811062.5667,814766.6635,0
1,2,12,26.43280029,46.37730026,113.961998,4852,0.910511017,2.3083601,10574.07867,765.6966075,44.3795578,150.5151413,810877.358,815137.0809,0
1,3,232,13.46389961,48.26779938,71.56500244,6401,0.179869995,3.039010048,10375.15868,205.4107749,48.23738782,106.0898945,811856.3183,812795.5137,0
1,3,442,0,0,300,3986,0.9,7.3,7300.172568,284.4508178,10.57438227,3.818657886,808416.728,813020.41,0
1,3,434,2.04399991,47.95880127,225,3260,0.9,7.3,5857.127413,103.866218,42.44944627,118.4586119,807903.4354,813094.6538,0
2,2,7,8.610619545,38.94380188,90,7567,-0.624798,3.1505301,4691.254649,221.9580111,85.36981531,1186.944007,810741.0973,815534.7785,0
1,3,38,10.31410027,23.56959915,33.69010162,6660,-0.094388098,3.313260078,3237.240964,23.12936963,1.687887808,444.0770137,811349.6402,814145.7132,0
3,3,458,4.562779903,53.43769836,288.4349976,7261,-0.918740988,4.137619972,2840.985483,160.7022115,12.61298324,57.69487088,808955.1562,812862.4815,0
2,3,12,4.56306982,51.104599,108.4349976,8006,0.9,7.3,3220.52117,384.6704313,12.7566381,675.492171,807751.2996,816381.4468,0
1,3,79,10.11740017,63.92409897,135,8245,0.232506007,3.679519892,4336.516424,175.5642912,93.49251861,66.08154963,810571.9681,810405.1588,0
1,3,164,10.11750031,36.96730042,135,7969,-0.460631013,2.986360073,5807.766449,494.0524101,13.91358105,270.6372906,810603.7181,810960.7849,0
1,3,20,42.87860107,47.58909988,222.7969971,6986,1.188750029,1.336979985,4750.77994,233.0445174,234.9436731,103.6387236,810937.0938,809809.8451,0
2,3,93,11.41429996,27.40679932,90,7135,0.00943491,3.209439993,2464.473199,189.6722617,7.257651076,289.1710804,810250.0827,814316.6721,0
2,3,263,13.46360016,40.23199844,251.5650024,7600,1.566140056,4.425320148,1917.276584,221.6636974,11.83479694,466.5529178,811042.4232,811498.7658,0
2,3,124,22.67169952,14.52159977,64.98310089,7510,0.38994199,2.13579011,1517.730656,401.640715,12.12673009,301.1984541,805962.1057,812043.8754,0
1,3,558,12.24870014,26.8743,54.46229935,6664,2.479929924,5.534739971,1054.383954,51.7345934,24.07740872,34.20711834,808505.837,814550.4724,0
2,3,102,12.24849987,65.05919647,54.46229935,7753,-0.264564008,2.790290117,4313.882992,58.00911543,60.7841367,1146.623736,806719.8959,813425.991,0
1,3,351,10.31340027,17.84480095,56.30989838,7520,-0.094458602,3.313329935,3837.444952,65.58372542,50.6063798,18.48735124,805141.633,810319.3792,0
3,3,91,16.95779991,62.30009842,245.5559998,7076,0.421752989,2.797120094,3068.062223,21.14953411,4.389983629,166.0226039,805459.1336,811938.6324,0
1,3,127,29.4382,51.16249847,26.56509972,7847,1.037350059,2.181519985,2503.165122,78.16005445,7.698995186,116.8700706,804332.0064,807842.8742,0
1,3,316,12.71959972,51.40930176,116.5650024,7285,0.120973997,3.097899914,2848.646851,61.42056654,17.14656122,32.83177059,806792.6363,812541.8836,0
2,1,876,18.70490074,57.7621994,206.5650024,4803,4.43844986,6.604469776,641.3639788,47.59000594,5.687172554,91.39312283,809720.3276,812138.9224,0
3,1,859,33.07490158,4.854720116,35.53770065,5354,4.941800117,5.799469948,377.6024678,186.3228662,35.41330882,660.3075144,809819.5465,812403.5063,0
2,3,627,4.562719822,41.40470123,341.5650024,7041,2.377079964,7.433469772,639.8663882,315.0395409,7.075424882,174.381992,810927.4914,812254.6778,0
1,3,578,29.96660042,39.4510994,156.8009949,7705,3.004689932,4.105999947,128.2616782,231.4345482,11.22215559,878.8906932,810315.6413,811990.094,0
1,3,724,40.82529831,43.40110016,353.2900085,3957,1.46318996,1.755679965,4544.79546,732.177297,128.150955,221.3620935,809406.1342,812535.7982,0
