landuse,Geology,DEM,Slope,Curvature,Aspect,NDVI,SPI,TWI,dis2catchment,dis2drainage,dis2road,dis2faults,X,Y,label
2,3,233,46.79602814,49.01705933,95.44033051,7222,1.325598598,1.200130105,278.7653998,49.76627779,86.50750153,993.2982108,805800.5623,814021.5978,1
2,3,70,31.20272827,14.35313988,270,7052,2.206657648,3.209442854,187.9970204,119.258315,187.9136339,1035.231809,804761.2595,814214.8594,1
2,3,301,37.19055557,46.31742859,183.8140717,5768,2.026543617,2.578626394,27.77690188,185.9254275,12.88378653,1540.552685,805141.3037,813695.5687,1
2,3,281,28.2148571,48.6339035,221.1859283,7526,0.64022994,1.885498762,29.15783637,145.2390844,28.75345022,1267.71165,807470.734,812647.211,1
3,3,409,48.25576401,35.58872986,144.1623535,7160,3.109625101,2.881839275,51.04861723,397.2412027,51.91879645,1809.157143,809391.5583,810833.0667,1
2,3,18,31.20094299,65.86190796,0,0,0.761401296,1.764327407,2240.431929,461.6492707,153.9143036,671.8564849,819403.5449,810400.8839,1
2,2,12,45.62180328,30.14872932,32.90524292,0,1.284571052,1.241157651,2384.067664,72.73791209,34.66785081,880.8791693,819957.6188,810276.4779,1
3,3,16,38.25509262,37.96135712,50.19442749,6612,1.37179029,1.847085476,2357.147581,297.3242242,61.96600434,308.9050124,816946.3698,808285.6259,1
2,3,225,12.08662796,40.46356583,135,7311,2.901513577,5.983788967,61.82355374,352.659016,61.35889632,1763.498808,811762.0569,812889.9585,1
2,3,11,41.76423264,62.39086914,222.7093964,6000,1.842821002,2.069201946,2628.622767,661.2891392,240.4796356,735.7887,818666.7084,814604.2079,1
2,1,88,43.76300049,60.38394165,71.56504822,7177,1.219671488,1.306057215,2261.930363,462.3374048,164.1368869,677.0619017,819040.3882,817163.6079,1
2,1,20,40,40,200,6000,1,2,2234.557485,457.3314059,154.3196773,665.5627881,820349.1423,815029.4875,1
3,3,132,29.72835541,62.72315216,135,7500,1.049152374,2.169723511,23.33121954,320.2955405,165.2463109,1603.831042,810049.7425,814140.2539,1
3,3,739,27.94921684,48.89223099,334.6538086,6517,2.921550512,4.189145565,25.44394863,281.0430331,131.136499,1550.172642,808847.5544,813882.1532,1
3,3,151,40.99429703,46.27608109,334.1790161,7080,1.122580886,1.403147697,70.6579274,224.7131617,67.81645911,1587.05509,810424.0707,813802.1287,1
